Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
147,NBA,2,57,IND,Ryan Reid\reidry01,23.243,F,us,Florida State,2012,2012,2010,5,3.4,1.6,0.4,0,0,0,0.8,0.8,,,0.1,0.142
148,NBA,2,58,LAL,Derrick Caracter\caracde01,22.056,F,us,Texas-El Paso,2011,2011,2010,41,5.2,2,1,0.2,0.1,0.2,0.485,0.485,,0.739,0.3,0.057
149,NBA,2,59,ORL,Stanley Robinson,,,,UConn,,,2010,,,,,,,,,,,,,
150,NBA,2,60,PHO,Dwayne Collins\collidw01,22.077,F,us,Miami (FL),,,2010,,,,,,,,,,,,,
151,NBA,2,31,MIA,Bojan Bogdanović\bogdabo02,22.071,G-F,ba,,2015,2021,2011,503,28.7,14.3,3.5,1.5,0.6,0.1,0.456,0.509,0.393,0.859,25.1,0.083
152,NBA,2,32,CLE,Justin Harper\harpeju01,21.302,F,us,Richmond,2012,2017,2011,22,6.8,2,0.8,0.2,0.1,0.1,0.34,0.417,0.276,0.333,-0.3,-0.093
153,NBA,2,33,DET,Kyle Singler\singlky01,23.055,F,us,Duke,2013,2018,2011,356,21.9,6.5,2.9,0.8,0.6,0.3,0.418,0.458,0.362,0.786,10,0.062
154,NBA,2,34,WAS,Shelvin Mack\macksh01,21.067,G,us,Butler,2012,2019,2011,456,18.4,6.6,2,3.1,0.7,0.1,0.423,0.47,0.33,0.731,10.3,0.059
155,NBA,2,35,SAC,Tyler Honeycutt\honeyty01,20.348,F,us,UCLA,2012,2013,2011,24,5,1.2,1,0.4,0.2,0.2,0.314,0.333,0.2,0.714,-0.1,-0.049
156,NBA,2,36,NJN,Jordan Williams\willijo03,20.26,F,us,Maryland,2012,2012,2011,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
157,NBA,2,37,LAC,Trey Thompkins\thomptr02,21.039,F,us,Georgia,2012,2012,2011,24,5,2.4,1,0.1,0.1,0.1,0.393,0.417,0.308,0.714,0,0.004
158,NBA,2,38,HOU,Chandler Parsons\parsoch01,22.246,F,us,Florida,2012,2020,2011,440,30.1,12.7,4.5,2.7,0.9,0.3,0.462,0.521,0.373,0.713,28.9,0.105
159,NBA,2,39,CHA,Jeremy Tyler\tylerje01,20.007,C,us,,2012,2014,2011,104,9.9,3.6,2.6,0.2,0.2,0.4,0.45,0.451,0,0.557,0.3,0.014
160,NBA,2,40,MIL,Jon Leuer\leuerjo01,22.045,F,us,Wisconsin,2012,2019,2011,377,15.8,6.4,3.8,0.8,0.4,0.3,0.484,0.52,0.328,0.767,13.2,0.107
161,NBA,2,41,LAL,Darius Morris\morrida01,20.176,G,us,Michigan,2012,2015,2011,132,11.1,3.3,1,1.4,0.3,0,0.384,0.416,0.322,0.63,-0.3,-0.01
162,NBA,2,42,IND,Dāvis Bertāns\bertada01,18.227,F,lv,,2017,2021,2011,309,19.3,8.3,2.8,1.1,0.4,0.4,0.433,0.519,0.406,0.85,14.2,0.114
163,NBA,2,43,CHI,Malcolm Lee\leema01,21.037,G,us,UCLA,2012,2015,2011,36,14.8,3.9,1.8,1.4,0.6,0.3,0.382,0.412,0.294,0.703,0.4,0.04
164,NBA,2,44,GSW,Charles Jenkins\jenkich01,22.12,G,us,Hofstra,2012,2013,2011,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
165,NBA,2,45,NOH,Josh Harrellson\harrejo01,22.136,C,us,Kentucky,2012,2014,2011,75,11.8,3.5,3,0.3,0.4,0.5,0.438,0.497,0.347,0.629,2.1,0.116
166,NBA,2,46,LAL,Andrew Goudelock\goudean01,22.203,G,us,College of Charleston,2012,2016,2011,49,9.7,4,0.7,0.5,0.2,0,0.393,0.429,0.345,0.875,0,0.003
167,NBA,2,47,LAC,Travis Leslie\leslitr01,21.091,G,us,Georgia,2012,2012,2011,10,4.5,1.4,0.9,0.5,0.2,0.2,0.357,0.357,,0.444,0.1,0.06
168,NBA,2,48,ATL,Keith Benson\bensoke02,22.319,C,us,Oakland,2012,2012,2011,3,3,0,1,0,0,0,0,0,,,0,-0.005
169,NBA,2,49,MEM,Josh Selby\selbyjo01,20.093,G,us,Kansas,2012,2013,2011,38,7.8,2.2,0.5,0.9,0.2,0,0.33,0.384,0.143,0.72,-0.7,-0.113
170,NBA,2,50,PHI,Lavoy Allen\allenla01,22.144,F-C,us,Temple,2012,2017,2011,388,17.8,4.8,4.8,1,0.3,0.6,0.471,0.474,0.133,0.682,13.8,0.096
171,NBA,2,51,POR,Jon Diebler\diebljo01,23.006,G,us,Ohio State,,,2011,,,,,,,,,,,,,
172,NBA,2,52,DET,Vernon Macklin\macklve01,24.282,F,us,Florida,2012,2012,2011,23,5.9,2,1.5,0.2,0.2,0.2,0.543,0.543,,0.571,0.5,0.161
173,NBA,2,53,ORL,DeAndre Liggins\liggide01,23.089,G,us,Kentucky,2012,2018,2011,177,10.8,2,1.4,0.7,0.6,0.2,0.402,0.432,0.352,0.549,1.6,0.04
174,NBA,2,54,CLE,Milan Mačvan\macvami01,21.224,F-C,hr,,,,2011,,,,,,,,,,,,,
175,NBA,2,55,BOS,E'Twaun Moore\mooreet01,22.123,G-F,us,Purdue,2012,2021,2011,595,21,7.9,2,1.8,0.7,0.2,0.454,0.488,0.388,0.739,14.7,0.056
176,NBA,2,56,LAL,Chukwudiebere Maduabum\maduach01,20.101,F,ng,,,,2011,,,,,,,,,,,,,
177,NBA,2,57,DAL,Targuy Ngombo,,,,,,,2011,,,,,,,,,,,,,
178,NBA,2,58,LAL,Ater Majok\majokat01,23.36,F-C,sd,,,,2011,,,,,,,,,,,,,
179,NBA,2,59,SAS,Ádám Hanga\hangaad01,22.077,G,hu,,,,2011,,,,,,,,,,,,,
180,NBA,2,60,SAC,Isaiah Thomas\thomais02,22.141,G,us,Washington,2012,2020,2011,525,28.9,18.1,2.5,5,0.9,0.1,0.436,0.482,0.364,0.872,45.3,0.143
181,NBA,2,31,CHA,Jeffery Taylor\tayloje03,23.042,F,se,Vanderbilt,2013,2015,2012,132,19.4,6.1,2,0.8,0.5,0.2,0.409,0.458,0.319,0.665,1.3,0.024
182,NBA,2,32,WAS,Tomáš Satoranský\satorto01,20.247,G,cz,,2017,2021,2012,305,23.2,7.4,3,4.2,0.9,0.2,0.473,0.518,0.374,0.825,15.5,0.105
183,NBA,2,33,CLE,Bernard James\jamesbe01,27.148,C,us,Florida State,2013,2015,2012,92,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0,0.68,1.9,0.117
184,NBA,2,34,CLE,Jae Crowder\crowdja01,21.363,F,us,Marquette,2013,2021,2012,646,24.9,9.6,4.2,1.6,1,0.3,0.419,0.513,0.343,0.78,34.6,0.103
185,NBA,2,35,GSW,Draymond Green\greendr01,22.122,F,us,Michigan State,2013,2021,2012,613,28.2,8.8,6.9,5.2,1.4,1,0.434,0.505,0.316,0.712,46.5,0.129
186,NBA,2,36,SAC,Orlando Johnson\johnsor01,23.115,G,us,UC Santa Barbara,2013,2016,2012,103,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
187,NBA,2,37,TOR,Quincy Acy\acyqu01,21.271,F-C,us,Baylor,2013,2019,2012,337,16,4.9,3.5,0.6,0.4,0.4,0.444,0.506,0.35,0.759,8.7,0.078
188,NBA,2,38,DEN,Quincy Miller\millequ01,19.227,F,us,Baylor,2013,2015,2012,69,13.5,4.3,2.4,0.5,0.4,0.5,0.35,0.383,0.292,0.706,-0.1,-0.003
189,NBA,2,39,DET,Khris Middleton\middlkh01,20.326,F-G,us,Texas A&M,2013,2021,2012,558,31.6,16.6,4.7,3.5,1.2,0.2,0.461,0.495,0.395,0.878,43.1,0.117
190,NBA,2,40,POR,Will Barton\bartowi01,21.179,G,us,Memphis,2013,2021,2012,535,24.9,11.2,4.2,2.6,0.8,0.4,0.434,0.481,0.351,0.783,22.2,0.08
191,NBA,2,41,POR,Tyshawn Taylor\tayloty01,22.083,G,us,Kansas,2013,2014,2012,61,8,2.9,0.5,0.9,0.4,0,0.354,0.353,0.36,0.684,-0.9,-0.088
192,NBA,2,42,MIL,Doron Lamb\lambdo01,20.24,G,us,Kentucky,2013,2014,2012,100,12.7,3.5,1,0.8,0.2,0,0.381,0.372,0.394,0.7,0.1,0.005
193,NBA,2,43,ATL,Mike Scott\scottmi01,23.353,F,us,Virginia,2013,2021,2012,528,16.5,6.9,3.2,0.9,0.3,0.1,0.457,0.525,0.364,0.756,16.3,0.089
194,NBA,2,44,DET,Kim English\engliki01,23.283,G,us,Missouri,2013,2013,2012,41,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.724,0.2,0.021
195,NBA,2,45,PHI,Justin Hamilton\hamilju01,22.094,C,us,LSU,2014,2017,2012,113,17.4,6.1,3.6,0.8,0.5,0.6,0.464,0.56,0.309,0.798,3.7,0.091
196,NBA,2,46,NOH,Darius Miller\milleda01,22.105,F,us,Kentucky,2013,2021,2012,267,19.9,5.9,1.7,1.4,0.4,0.2,0.419,0.498,0.383,0.838,6.4,0.058
197,NBA,2,47,UTA,Kevin Murphy\murphke01,22.12,G,us,Tennessee Technological University,2013,2013,2012,17,3.1,0.9,0.2,0.1,0.1,0,0.25,0.261,0.2,,-0.3,-0.272
198,NBA,2,48,NYK,Kostas Papanikolaou\papanko01,21.338,F,gr,,2015,2016,2012,69,15.8,3.6,2.3,1.5,0.6,0.3,0.354,0.416,0.297,0.688,0.3,0.015
199,NBA,2,49,ORL,Kyle O'Quinn\oquinky01,22.1,F-C,us,Norfolk State,2013,2020,2012,472,14.2,5.4,4.6,1.4,0.4,1,0.517,0.539,0.218,0.74,17.8,0.128
200,NBA,2,50,DEN,İzzet Türkyılmaz\turkyiz01,22.045,C-F,tr,,,,2012,,,,,,,,,,,,,
201,NBA,2,51,BOS,Kris Joseph\josepkr01,23.199,F,ca,Syracuse,2013,2013,2012,10,5.4,0.9,0.7,0.1,0.3,0,0.143,0.182,0,0.625,-0.1,-0.127
202,NBA,2,52,GSW,Ognjen Kuzmić\kuzmiog01,22.049,C,ba,,2014,2015,2012,37,4.4,0.9,1,0.2,0.1,0.1,0.52,0.52,,0.6,0.2,0.061
203,NBA,2,53,LAC,Furkan Aldemir\aldemfu01,20.329,F-C,tr,,2015,2015,2012,41,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.548,0,0.481,1.4,0.122
204,NBA,2,54,PHI,Tornike Shengelia\shengto01,20.272,F,ge,,2013,2014,2012,45,5.5,1.3,0.9,0.4,0.1,0,0.451,0.512,0.125,0.5,-0.2,-0.032
205,NBA,2,55,DAL,Darius Johnson-Odom\johnsda03,22.279,G,us,Marquette,2013,2014,2012,7,3,0,0.9,0.3,0.1,0,0,0,0,0,-0.3,-0.597
206,NBA,2,56,TOR,Tomislav Zubčić\zubcito01,22.178,F,hr,,,,2012,,,,,,,,,,,,,
207,NBA,2,57,NJN,İlkan Karaman\karamil01,22.052,F,tr,,,,2012,,,,,,,,,,,,,
208,NBA,2,58,MIN,Robbie Hummel\hummero01,23.118,F,us,Purdue,2014,2015,2012,98,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.343,0.867,1.9,0.066
209,NBA,2,59,SAS,Marcus Denmon\denmoma01,22.106,G,us,Missouri,,,2012,,,,,,,,,,,,,
210,NBA,2,60,LAL,Robert Sacre\sacrero01,23.028,C,us,Gonzaga,2013,2016,2012,189,14.5,4.2,3.1,0.7,0.3,0.6,0.436,0.437,0,0.671,2.4,0.042
211,NBA,2,31,CLE,Allen Crabbe\crabbal01,21.084,G-F,us,California,2014,2020,2013,381,24,9.1,2.8,1.1,0.6,0.3,0.425,0.471,0.387,0.831,13.7,0.072
212,NBA,2,32,OKC,Álex Abrines\abrinal01,19.335,G-F,es,,2017,2019,2013,174,16,5.3,1.4,0.5,0.5,0.1,0.387,0.443,0.368,0.88,5,0.086
213,NBA,2,33,CLE,Carrick Felix\felixca01,22.32,G,us,Arizona State,2014,2014,2013,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.057
214,NBA,2,34,HOU,Isaiah Canaan\canaais01,22.043,G,us,Murray State,2014,2019,2013,235,20.4,8.1,1.9,1.9,0.6,0.1,0.371,0.404,0.351,0.836,4.3,0.043
215,NBA,2,35,PHI,Glen Rice\ricegl02,22.183,G,us,Georgia Tech,2014,2015,2013,16,9.5,2.7,1.5,0.6,0.4,0.1,0.269,0.286,0.25,0.692,-0.2,-0.065
216,NBA,2,36,SAC,Ray McCallum\mccalra01,22.021,G,us,Detroit Mercy,2014,2016,2013,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
217,NBA,2,37,DET,Tony Mitchell\mitchto02,21.086,F,us,University of North Texas,2014,2014,2013,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151
218,NBA,2,38,WAS,Nate Wolters\woltena01,22.049,G,us,South Dakota State,2014,2018,2013,84,18.8,5.5,2.2,2.5,0.5,0.2,0.423,0.452,0.261,0.635,0.9,0.028
219,NBA,2,39,POR,Jeff Withey\witheje01,23.118,C,us,Kansas,2014,2018,2013,206,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.143,0.716,6.8,0.157
220,NBA,2,40,POR,Grant Jerrett\jerregr01,19.359,F,us,Arizona,2015,2015,2013,8,6.4,2,1.1,0.4,0.3,0.3,0.269,0.545,0.067,1,-0.1,-0.128
221,NBA,2,41,MEM,Jamaal Franklin\frankja01,21.347,G,us,San Diego State,2014,2015,2013,24,7.3,1.8,1,0.4,0.2,0.1,0.415,0.393,0.462,1,0,-0.006
222,NBA,2,42,PHI,Pierre Jackson\jackspi01,21.308,G,us,Baylor,2017,2017,2013,8,10.5,4.4,1.1,2.4,0.3,0,0.333,0.357,0.273,0.857,0,0.021
223,NBA,2,43,MIL,Ricky Ledo\ledori01,20.295,G,us,Providence,2014,2015,2013,28,9.9,3.9,1.4,0.8,0.3,0,0.336,0.321,0.371,0.769,-0.6,-0.096
224,NBA,2,44,DAL,Mike Muscala\muscami01,22.002,F-C,us,Bucknell,2014,2021,2013,389,15.7,6,3.2,0.9,0.3,0.5,0.458,0.549,0.368,0.847,14.6,0.115
225,NBA,2,45,POR,Marko Todorović\todorma01,21.074,F,me,,,,2013,,,,,,,,,,,,,
226,NBA,2,46,UTA,Erick Green\greener01,22.055,G,us,Virginia Tech,2015,2016,2013,52,8.7,3.1,0.7,0.8,0.3,0,0.377,0.415,0.288,0.857,0.1,0.011
227,NBA,2,47,ATL,Raul Neto\netora01,21.044,G,br,,2016,2021,2013,289,14.6,5.2,1.4,1.9,0.6,0.1,0.444,0.485,0.375,0.799,6.7,0.076
228,NBA,2,48,LAL,Ryan Kelly\kellyry01,22.085,F,us,Duke,2014,2017,2013,163,19.2,6,3.1,1.3,0.5,0.5,0.378,0.416,0.316,0.797,3,0.046
229,NBA,2,49,CHI,Erik Murphy\murpher01,22.25,F,fr,Florida,2014,2014,2013,24,2.6,0.3,0.3,0.1,0,0.2,0.231,0.3,0,,-0.1,-0.055
230,NBA,2,50,ATL,James Ennis\ennisja01,23.002,F,us,Cal State Long Beach,2015,2021,2013,372,20.2,6.6,3.3,0.9,0.6,0.3,0.459,0.54,0.358,0.794,15.5,0.099
231,NBA,2,51,ORL,Romero Osby\osbyro01,23.057,F,de,Oklahoma,,,2013,,,,,,,,,,,,,
232,NBA,2,52,MIN,Lorenzo Brown\brownlo01,22.311,G,us,NC State,2014,2019,2013,103,11.5,2.8,1.5,1.8,0.6,0.1,0.364,0.453,0.17,0.707,-0.2,-0.007
233,NBA,2,53,IND,Colton Iverson\iversco01,24.004,C,us,Colorado State,,,2013,,,,,,,,,,,,,
234,NBA,2,54,WAS,Arsalan Kazemi\kazemar01,23.072,F,ir,Oregon,,,2013,,,,,,,,,,,,,
235,NBA,2,55,MEM,Joffrey Lauvergne\lauvejo01,21.276,C-F,fr,,2015,2018,2013,208,13.6,5.6,3.8,0.9,0.3,0.2,0.479,0.52,0.285,0.719,5.2,0.089
236,NBA,2,56,DET,Peyton Siva\sivape01,22.252,G,us,Louisville,2014,2014,2013,24,9.3,2.3,0.6,1.4,0.4,0,0.316,0.344,0.28,0.733,-0.2,-0.032
237,NBA,2,57,PHO,Alex Oriakhi\oriakal01,23.012,F,us,Missouri,,,2013,,,,,,,,,,,,,
238,NBA,2,58,SAS,Deshaun Thomas\thomade01,21.308,F,us,Ohio State,,,2013,,,,,,,,,,,,,
239,NBA,2,59,MIN,Bojan Dubljević\dubljbo01,21.252,F-C,me,,,,2013,,,,,,,,,,,,,
240,NBA,2,60,MEM,Jānis Timma\timmaja01,21,F,lv,,,,2013,,,,,,,,,,,,,
241,NBA,2,31,MIL,Damien Inglis\inglida01,19.042,F,gf,,2016,2016,2014,20,7.8,1.8,1.6,0.5,0.3,0.2,0.351,0.417,0.231,0.875,-0.1,-0.024
242,NBA,2,32,PHI,K.J. McDaniels\mcdankj01,21.142,G-F,us,Clemson,2015,2017,2014,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
243,NBA,2,33,CLE,Joe Harris\harrijo01,22.299,G,us,Virginia,2015,2021,2014,374,25.1,10.9,3.2,1.6,0.5,0.2,0.484,0.548,0.437,0.773,18.3,0.094
244,NBA,2,34,NYK,Cleanthony Early\earlycl01,23.076,F,us,Wichita State,2015,2016,2014,56,14.3,4.3,2.2,0.8,0.5,0.3,0.346,0.4,0.263,0.75,-0.6,-0.039
245,NBA,2,35,UTA,Jarnell Stokes\stokeja01,20.175,F-C,us,Tennessee,2015,2017,2014,28,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.202
246,NBA,2,36,MIL,Johnny O'Bryant\obryajo01,21.03,F-C,us,LSU,2015,2018,2014,147,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.663,0.2,0.006
247,NBA,2,37,TOR,DeAndre Daniels\daniede01,22.077,F,us,UConn,,,2014,,,,,,,,,,,,,
248,NBA,2,38,DET,Spencer Dinwiddie\dinwisp01,21.086,G,us,Colorado,2015,2021,2014,320,25.7,12.9,2.8,5,0.7,0.3,0.41,0.479,0.318,0.794,18.4,0.107
249,NBA,2,39,PHI,Jerami Grant\grantje01,20.111,F,us,Syracuse,2015,2021,2014,493,25.4,10.4,3.9,1.2,0.6,1.1,0.458,0.515,0.348,0.702,25.5,0.098
250,NBA,2,40,MIN,Glenn Robinson\robingl02,20.174,G-F,us,Michigan,2015,2021,2014,304,17.4,5.9,2.6,0.8,0.5,0.2,0.457,0.501,0.373,0.779,7.8,0.071
251,NBA,2,41,DEN,Nikola Jokić\jokicni01,19.132,C-F,rs,,2016,2021,2014,423,29.7,18,9.8,5.8,1.2,0.7,0.531,0.58,0.349,0.831,58.5,0.223
252,NBA,2,42,HOU,Nick Johnson\johnsni01,21.191,G,us,Arizona,2015,2015,2014,28,9.4,2.6,1.4,0.4,0.3,0.1,0.347,0.389,0.238,0.68,-0.1,-0.02
253,NBA,2,43,ATL,Edy Tavares\tavarwa01,22.101,C,cv,,2016,2017,2014,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.118
254,NBA,2,44,MIN,Markel Brown\brownma02,22.154,G,us,Oklahoma State,2015,2018,2014,113,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.427,0.295,0.781,1.1,0.029
255,NBA,2,45,CHH,Dwight Powell\poweldw01,22.347,F-C,ca,Stanford,2015,2021,2014,399,18.5,7.5,4.5,1,0.7,0.5,0.56,0.621,0.29,0.741,27,0.176
256,NBA,2,46,WAS,Jordan Clarkson\clarkjo01,22.024,G,us,Missouri,2015,2021,2014,494,26.9,15,3.2,2.5,0.9,0.1,0.445,0.502,0.346,0.826,16.5,0.059
257,NBA,2,47,PHI,Russ Smith\smithru01,23.074,G,us,Louisville,2015,2016,2014,27,4.9,2,0.6,0.7,0.3,0,0.319,0.387,0.188,0.769,-0.2,-0.068
258,NBA,2,48,MIL,Lamar Patterson\pattela01,22.324,G-F,us,Pitt,2016,2017,2014,40,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.236,0.72,0.1,0.006
259,NBA,2,49,CHI,Cameron Bairstow\bairsca01,23.207,F-C,au,New Mexico,2015,2016,2014,36,4.6,1.2,1,0.2,0.1,0.1,0.296,0.306,0.2,0.846,-0.1,-0.021
260,NBA,2,50,PHO,Alec Brown\brownal01,21.343,F-C,us,Green Bay,,,2014,,,,,,,,,,,,,
261,NBA,2,51,NYK,Thanasis Antetokounmpo\antetth01,21.348,F,gr,,2016,2021,2014,51,7.5,2.5,1.6,0.6,0.3,0.2,0.556,0.671,0.1,0.433,0.7,0.086
262,NBA,2,52,PHI,Vasilije Micić\micicva01,20.169,G,rs,,,,2014,,,,,,,,,,,,,
263,NBA,2,53,MIN,Alessandro Gentile\gential01,21.231,F,it,,,,2014,,,,,,,,,,,,,
264,NBA,2,54,PHI,Nemanja Dangubić\dangune01,21.079,G,rs,,,,2014,,,,,,,,,,,,,
265,NBA,2,55,MIA,Semaj Christon\chrisse01,21.242,G,us,Xavier,2017,2017,2014,64,15.2,2.9,1.4,2,0.4,0.1,0.345,0.406,0.19,0.548,0.1,0.006
266,NBA,2,56,DEN,Devyn Marble\marblde01,21.283,G-F,us,Iowa,2015,2016,2014,44,10.4,2.2,1.6,0.7,0.5,0.1,0.304,0.377,0.222,0.375,-0.3,-0.028
267,NBA,2,57,IND,Louis Labeyrie\labeylo01,22.141,F,fr,,,,2014,,,,,,,,,,,,,
268,NBA,2,58,SAS,Jordan McRae\mcraejo01,23.096,G,us,Tennessee,2016,2020,2014,123,13.8,6.9,1.8,1.4,0.4,0.2,0.417,0.447,0.355,0.772,1.7,0.048
269,NBA,2,59,TOR,Xavier Thames\thamexa01,23.164,G,us,San Diego State,,,2014,,,,,,,,,,,,,
270,NBA,2,60,SAS,Cory Jefferson\jeffeco01,23.188,F,us,Baylor,2015,2016,2014,58,10,3.5,2.8,0.3,0.2,0.4,0.444,0.474,0.125,0.583,0.9,0.071
271,NBA,2,31,MIN,Cedi Osman\osmande01,20.083,F,mk,,2018,2021,2015,243,25,9.7,3.5,2.1,0.7,0.1,0.421,0.488,0.354,0.729,4.6,0.037
272,NBA,2,32,HOU,Montrezl Harrell\harremo01,21.155,F-C,us,Louisville,2016,2021,2015,361,21.4,12.9,5.1,1.3,0.6,0.9,0.618,0.628,0.085,0.648,31.5,0.196
273,NBA,2,33,BOS,Jordan Mickey\mickejo01,20.356,F,us,LSU,2016,2018,2015,64,7.5,2.4,2,0.3,0.1,0.4,0.449,0.496,0.118,0.605,0.5,0.05
274,NBA,2,34,LAL,Anthony Brown\brownan02,22.263,F-G,us,Stanford,2016,2018,2015,41,18.6,3.9,2.5,0.7,0.5,0.1,0.328,0.38,0.286,0.85,-0.2,-0.016
275,NBA,2,35,PHI,Willy Hernangómez\hernawi01,21.034,C,es,,2017,2021,2015,233,14.5,6.8,5.5,1.1,0.4,0.4,0.53,0.548,0.316,0.682,9.8,0.139
276,NBA,2,36,MIN,Rakeem Christmas\chrisra01,23.212,F,us,Syracuse,2016,2017,2015,30,7.5,2.1,1.9,0.1,0.1,0.2,0.467,0.467,,0.724,0.5,0.105
277,NBA,2,37,PHI,Richaun Holmes\holmeri01,21.258,F-C,us,Bowling Green,2016,2021,2015,308,20.2,9.1,5.4,1,0.6,1,0.594,0.624,0.258,0.738,20.9,0.162
278,NBA,2,38,DET,Darrun Hilliard\hillida01,22.078,G,us,Villanova,2016,2018,2015,91,9.4,3.2,0.9,0.8,0.2,0,0.377,0.42,0.304,0.747,0.3,0.016
279,NBA,2,39,CHO,Juan Pablo Vaulet\vauleju01,19.099,F,ar,,,,2015,,,,,,,,,,,,,
280,NBA,2,40,MIA,Josh Richardson\richajo01,21.288,G,us,Tennessee,2016,2021,2015,346,30.8,12.5,3.2,2.9,1.1,0.6,0.428,0.479,0.359,0.83,19.5,0.088
281,NBA,2,41,BRK,Pat Connaughton\connapa01,22.175,G,us,Notre Dame,2016,2021,2015,321,16.5,5,3,1.3,0.4,0.3,0.444,0.561,0.352,0.786,12.3,0.112
282,NBA,2,42,UTA,Olivier Hanlan\hanlaol01,22.135,G,ca,Boston College,,,2015,,,,,,,,,,,,,
