Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
283,NBA,2,43,IND,Joe Young\youngjo01,23.003,G,us,Oregon,2016,2018,2015,127,8.5,3.4,1,0.9,0.3,0,0.393,0.438,0.296,0.768,0.4,0.016
284,NBA,2,44,PHO,Andrew Harrison\harrian01,20.245,G,us,Kentucky,2017,2019,2015,145,20.6,7,2,2.8,0.7,0.3,0.373,0.422,0.294,0.779,3.2,0.051
285,NBA,2,45,BOS,Marcus Thornton\thornma02,22.141,G,us,William & Mary,,,2015,,,,,,,,,,,,,
286,NBA,2,46,MIL,Norman Powell\powelno01,22.036,G,us,UCLA,2016,2021,2015,347,20.1,9.9,2.4,1.4,0.8,0.2,0.465,0.53,0.38,0.831,15,0.103
287,NBA,2,47,PHI,Artūras Gudaitis\gudaiar01,22.011,C,lt,,,,2015,,,,,,,,,,,,,
288,NBA,2,48,OKC,Dakari Johnson\johnsda04,19.281,C,us,Kentucky,2018,2018,2015,31,5.2,1.8,1.1,0.3,0.2,0.3,0.564,0.564,,0.55,0.6,0.178
289,NBA,2,49,WAS,Aaron White\whiteaa01,22.293,F,us,Iowa,,,2015,,,,,,,,,,,,,
290,NBA,2,50,ATL,Marcus Eriksson\eriksma01,21.207,G,se,,,,2015,,,,,,,,,,,,,
291,NBA,2,51,ORL,Tyler Harvey\harvety01,21.348,G,us,Eastern Washington,,,2015,,,,,,,,,,,,,
292,NBA,2,52,DAL,Satnam Singh Bhamara\singhsa01,19.202,C,in,,,,2015,,,,,,,,,,,,,
293,NBA,2,53,CLE,Sir'Dominic Pointer\pointsi01,23.055,G-F,us,St. John's,,,2015,,,,,,,,,,,,,
294,NBA,2,54,UTA,Dani Díez de la Faya\diezda01,22.084,F,es,,,,2015,,,,,,,,,,,,,
295,NBA,2,55,SAS,Cady Lalanne\lalanca01,23.069,C,ht,UMass,,,2015,,,,,,,,,,,,,
296,NBA,2,56,NOP,Branden Dawson\dawsobr01,22.149,F,us,Michigan State,2016,2016,2015,6,4.8,0.8,0.7,0,0,0.2,0.4,0.4,,1,0,0.069
297,NBA,2,57,DEN,Nikola Radičević\radicni01,21.066,G,rs,,,,2015,,,,,,,,,,,,,
298,NBA,2,58,PHI,J.P. Tokoto\tokotjp01,21.288,G-F,us,UNC,,,2015,,,,,,,,,,,,,
299,NBA,2,59,ATL,Dimitrios Agravanis\agravdi01,20.192,F-C,gr,,,,2015,,,,,,,,,,,,,
300,NBA,2,60,PHI,Luka Mitrović\mitrolu01,22.101,F,rs,,,,2015,,,,,,,,,,,,,
301,NBA,2,31,BOS,Deyonta Davis\davisde01,19.208,C-F,us,Michigan State,2017,2019,2016,107,12.1,4.2,3.2,0.4,0.2,0.6,0.599,0.601,0,0.635,3.6,0.131
302,NBA,2,32,LAL,Ivica Zubac\zubaciv01,19.102,C,ba,,2017,2021,2016,255,16.7,7.6,5.8,1,0.3,0.8,0.581,0.584,0,0.768,15.9,0.179
303,NBA,2,33,LAC,Cheick Diallo\diallch01,19.288,F,ml,Kansas,2017,2020,2016,180,12,5.3,4.2,0.4,0.3,0.4,0.598,0.602,0.286,0.772,6.3,0.14
304,NBA,2,34,PHO,Tyler Ulis\ulisty01,20.175,G,us,Kentucky,2017,2019,2016,133,20.9,7.5,1.7,4,0.9,0.1,0.403,0.439,0.28,0.808,0.5,0.008
305,NBA,2,35,BOS,Rade Zagorac\zagorra01,20.321,G-F,rs,,,,2016,,,,,,,,,,,,,
306,NBA,2,36,MIL,Malcolm Brogdon\brogdma01,23.2,G,us,Virginia,2017,2021,2016,281,29.7,14.8,3.9,4.6,0.9,0.2,0.468,0.507,0.388,0.891,20.6,0.118
307,NBA,2,37,HOU,Chinanu Onuaku\onuakch01,19.239,F-C,us,Louisville,2017,2018,2016,6,12.3,3,2.3,0.7,0.5,0.2,0.583,0.583,,1,0.1,0.043
308,NBA,2,38,MIL,Patrick McCaw\mccawpa01,20.247,G,us,UNLV,2017,2021,2016,198,17,3.8,1.6,1.4,0.7,0.2,0.42,0.508,0.305,0.785,4.4,0.063
309,NBA,2,39,NOP,David Michineau\michida01,22.023,G,gp,,,,2016,,,,,,,,,,,,,
310,NBA,2,40,NOP,Diamond Stone\stonedi01,19.138,C,us,Maryland,2017,2017,2016,7,3.4,1.4,0.9,0,0,0.1,0.231,0.231,,1,-0.1,-0.211
311,NBA,2,41,ORL,Stephen Zimmerman\zimmest01,19.292,C,us,UNLV,2017,2017,2016,19,5.7,1.2,1.8,0.2,0.1,0.3,0.323,0.323,,0.6,0,-0.005
312,NBA,2,42,UTA,Isaiah Whitehead\whiteis01,21.113,G,us,Seton Hall,2017,2018,2016,89,20.5,7.2,2.4,2.4,0.6,0.4,0.411,0.452,0.305,0.788,-0.9,-0.025
313,NBA,2,43,HOU,Zhou Qi\qizh01,20.164,F-C,cn,,2018,2019,2016,19,6.6,1.3,1.2,0.1,0.1,0.7,0.212,0.357,0.105,0.667,-0.2,-0.093
314,NBA,2,44,ATL,Isaïa Cordinier\cordiis01,19.212,G,fr,,,,2016,,,,,,,,,,,,,
315,NBA,2,45,BOS,Demetrius Jackson\jacksde01,21.295,G,us,Notre Dame,2017,2019,2016,26,5.2,1.8,0.7,0.7,0.3,0,0.486,0.609,0.286,0.667,0.2,0.087
316,NBA,2,46,DAL,A.J. Hammons\hammoaj01,23.306,C,us,Purdue,2017,2017,2016,22,7.4,2.2,1.6,0.2,0,0.6,0.405,0.375,0.5,0.45,0,-0.001
317,NBA,2,47,ORL,Jake Layman\laymaja01,22.114,F,us,Maryland,2017,2021,2016,194,14.1,5.4,1.9,0.6,0.5,0.3,0.461,0.581,0.307,0.732,3.6,0.063
318,NBA,2,48,CHI,Paul Zipser\zipsepa01,22.131,G-F,de,,2017,2018,2016,98,17,4.7,2.6,0.8,0.4,0.3,0.371,0.402,0.335,0.769,0,-0.001
319,NBA,2,49,DET,Michael Gbinije\gbinimi01,24.024,G,us,Syracuse,2017,2017,2016,9,3.6,0.4,0.3,0.2,0,0,0.1,0.167,0,1,-0.1,-0.136
320,NBA,2,50,IND,Georges Niang\niangge01,23.012,F,us,Iowa State,2017,2021,2016,198,10.7,4.4,1.7,0.6,0.2,0.1,0.431,0.521,0.382,0.842,3.5,0.08
321,NBA,2,51,BOS,Ben Bentil\bentibe01,21.092,F,gh,Providence,2017,2017,2016,3,3.3,0,0.7,0,0,0,0,0,0,,-0.1,-0.473
322,NBA,2,52,UTA,Joel Bolomboy\bolomjo01,22.152,F,ua,Weber State,2017,2018,2016,18,5.1,1.7,1.5,0.1,0.2,0.1,0.545,0.647,0.2,0.5,0.3,0.132
323,NBA,2,53,DEN,Petr Cornelie\cornepe01,20.338,F,fr,,,,2016,,,,,,,,,,,,,
324,NBA,2,54,ATL,Kay Felder\feldeka01,21.092,G,us,Oakland,2017,2018,2016,58,9.1,3.8,1,1.3,0.4,0.1,0.364,0.385,0.268,0.754,-0.4,-0.041
325,NBA,2,55,BRK,Marcus Paige\paigema01,22.291,G,us,UNC,2018,2018,2016,5,5.6,2.4,0.8,0.6,0,0,0.286,0.333,0.25,1,0,-0.006
326,NBA,2,56,DEN,Daniel Hamilton\hamilda02,20.325,G-F,us,UConn,2018,2019,2016,25,9.3,2.8,2.1,1.2,0.3,0,0.394,0.419,0.357,0.5,0,0
327,NBA,2,57,MEM,Wang Zhelin\sheliwa01,22.16,C,cn,,,,2016,,,,,,,,,,,,,
328,NBA,2,58,BOS,Abdel Nader\naderab01,22.277,F,eg,Iowa State,2018,2021,2016,188,13,4.7,1.9,0.5,0.4,0.3,0.432,0.491,0.36,0.725,2.9,0.056
329,NBA,2,59,SAC,Isaiah Cousins\cousiis01,22.108,G,us,Oklahoma,,,2016,,,,,,,,,,,,,
330,NBA,2,60,UTA,Tyrone Wallace\wallaty01,22.019,G,us,California,2018,2020,2016,106,15.5,5.2,2.2,1.2,0.5,0.2,0.425,0.463,0.203,0.671,0.2,0.006
331,NBA,2,31,CHO,Frank Jackson\jacksfr01,19.054,G,us,Duke,2019,2021,2017,133,16,7,1.8,1.1,0.3,0,0.422,0.488,0.327,0.744,0.7,0.016
332,NBA,2,32,PHO,Davon Reed\reedda01,22.017,G,us,Miami (FL),2018,2019,2017,31,9.3,2.4,1.5,0.5,0.4,0.1,0.307,0.304,0.31,0.667,-0.2,-0.039
333,NBA,2,33,ORL,Wesley Iwundu\iwundwe01,22.19,F,us,Kansas State,2018,2021,2017,205,17,4.5,2.4,1,0.5,0.2,0.412,0.459,0.3,0.797,4.3,0.058
334,NBA,2,34,SAC,Frank Mason\masonfr01,23.086,G,us,Kansas,2018,2021,2017,103,15.7,6.7,2,2.6,0.5,0.1,0.396,0.433,0.301,0.755,1.2,0.036
335,NBA,2,35,ORL,Ivan Rabb\rabbiv01,20.143,F,us,California,2018,2019,2017,85,14.6,5.7,4.3,1,0.3,0.3,0.555,0.57,0.2,0.743,3.2,0.125
336,NBA,2,36,PHI,Jonah Bolden\boldejo01,21.177,F,au,,2019,2020,2017,51,13.5,4.3,3.4,0.8,0.4,0.8,0.486,0.685,0.34,0.484,1.4,0.098
337,NBA,2,37,BOS,Semi Ojeleye\ojelese01,22.205,F,us,SMU,2018,2021,2017,236,14.8,3.5,2.1,0.5,0.3,0.1,0.394,0.476,0.351,0.697,4.7,0.065
338,NBA,2,38,CHI,Jordan Bell\belljo01,22.172,F,us,Oregon,2018,2021,2017,157,12.1,3.7,3.1,1.3,0.4,0.8,0.556,0.572,0.2,0.638,4.8,0.122
339,NBA,2,39,PHI,Jawun Evans\evansja01,20.336,G,us,Oklahoma State,2018,2019,2017,56,15.1,4.2,1.7,2,0.7,0.1,0.345,0.367,0.263,0.776,-0.4,-0.022
340,NBA,2,40,NOP,Dwayne Bacon\bacondw01,21.302,G,us,Florida State,2018,2021,2017,177,18.2,6.4,2.5,1,0.4,0.1,0.401,0.427,0.341,0.773,0.8,0.011
341,NBA,2,41,ATL,Tyler Dorsey\dorsety01,21.13,G,us,Oregon,2018,2019,2017,104,16.1,6.7,2.3,1.3,0.3,0.1,0.389,0.429,0.35,0.669,1,0.03
342,NBA,2,42,UTA,Thomas Bryant\bryanth01,19.331,C,us,Indiana,2018,2021,2017,143,20.9,10.7,6,1.4,0.4,0.9,0.6,0.665,0.362,0.748,10.5,0.168
343,NBA,2,43,HOU,Isaiah Hartenstein\harteis01,19.053,F,us,,2019,2021,2017,81,9.4,3.3,2.7,0.6,0.3,0.5,0.559,0.582,0.182,0.667,2.2,0.137
344,NBA,2,44,NYK,Damyean Dotson\dotsoda01,23.053,G,us,Oregon,2018,2021,2017,196,19.9,7.6,2.5,1.5,0.5,0.1,0.416,0.484,0.348,0.72,3.2,0.04
345,NBA,2,45,HOU,Dillon Brooks\brookdi01,21.157,F-G,ca,Oregon,2018,2021,2017,209,27.9,13.3,3,1.9,0.9,0.3,0.413,0.449,0.35,0.79,2.4,0.02
346,NBA,2,46,PHI,Sterling Brown\brownst02,22.138,G,us,SMU,2018,2021,2017,203,17.2,5.6,3.3,1.1,0.6,0.2,0.417,0.485,0.355,0.794,5.3,0.073
347,NBA,2,47,IND,Ike Anigbogu\anigbik01,18.253,F-C,us,UCLA,2018,2019,2017,14,2.6,0.9,0.9,0.1,0.1,0.3,0.333,0.333,,0.833,0,0.057
348,NBA,2,48,MIL,Sindarius Thornwell\thornsi01,22.225,G,us,South Carolina,2018,2021,2017,153,10.3,2.5,1.3,0.6,0.4,0.2,0.414,0.44,0.348,0.672,1,0.03
349,NBA,2,49,DEN,Vlatko Čančar\cancavl01,20.078,F,si,,2020,2021,2017,37,4.9,1.3,1,0.3,0.2,0.1,0.391,0.583,0.182,0.9,0.1,0.022
350,NBA,2,50,PHI,Mathias Lessort\lessoma01,21.272,F,mq,,,,2017,,,,,,,,,,,,,
351,NBA,2,51,DEN,Monte Morris\morrimo01,22.001,G,us,Iowa State,2018,2021,2017,194,23.8,9.8,2.1,3.5,0.8,0.2,0.477,0.521,0.387,0.809,12.4,0.129
352,NBA,2,52,NOP,Edmond Sumner\sumneed01,21.179,G,us,Xavier,2018,2021,2017,83,11.9,4.3,1.3,0.9,0.5,0.2,0.437,0.526,0.287,0.663,0.8,0.041
353,NBA,2,53,BOS,Kadeem Allen\allenka01,24.164,G,us,Arizona,2018,2020,2017,47,13.6,5.5,1.5,2.3,0.5,0.2,0.435,0.472,0.349,0.757,1,0.075
354,NBA,2,54,PHO,Alec Peters\peteral01,22.076,F,us,Valparaiso,2018,2018,2017,20,11.3,4.1,1.9,0.6,0.1,0.1,0.378,0.625,0.31,0.8,0.3,0.055
355,NBA,2,55,UTA,Nigel Williams-Goss\willini01,22.285,G,us,Gonzaga,2020,2020,2017,10,5,1.4,0.6,0.6,0.3,0.1,0.313,0.333,0.286,1,0,0.017
356,NBA,2,56,BOS,Jabari Bird\birdja01,22.36,G,us,California,2018,2018,2017,13,8.8,3,1.5,0.6,0.2,0.1,0.577,0.632,0.429,0.462,0.2,0.098
357,NBA,2,57,BRK,Aleksandar Vezenkov\vezenal01,21.326,F,cy,,,,2017,,,,,,,,,,,,,
358,NBA,2,58,NYK,Ognjen Jaramaz\jaramog01,21.3,G,yu,,,,2017,,,,,,,,,,,,,
359,NBA,2,59,SAS,Jaron Blossomgame\blossja01,23.285,F,us,Clemson,2019,2019,2017,27,16.3,4.2,3.6,0.5,0.3,0.3,0.443,0.552,0.256,0.769,0.3,0.03
360,NBA,2,60,ATL,Alpha Kaba\kabaal01,21.15,F,fr,,,,2017,,,,,,,,,,,,,
361,NBA,2,31,PHO,Élie Okobo\okoboel01,20.246,G,fr,,2019,2020,2018,108,15.5,4.8,1.7,2.2,0.5,0.1,0.395,0.455,0.315,0.737,0.5,0.014
362,NBA,2,32,MEM,Jevon Carter\carteje01,22.286,G,us,West Virginia,2019,2021,2018,130,14.2,4.2,1.7,1.5,0.7,0.3,0.368,0.357,0.375,0.836,2.4,0.063
363,NBA,2,33,DAL,Jalen Brunson\brunsja01,21.299,G,us,Villanova,2019,2021,2018,167,21,9.6,2.6,3.2,0.5,0,0.482,0.539,0.367,0.78,7.3,0.099
364,NBA,2,34,ATL,Devonte' Graham\grahade01,23.125,G,us,Kansas,2019,2021,2018,140,27.3,12.7,2.6,5.4,0.8,0.1,0.372,0.393,0.358,0.806,5.3,0.067
365,NBA,2,35,ORL,Melvin Frazier\frazime01,21.3,G,us,Tulane,2019,2020,2018,29,5.9,1.9,0.5,0.1,0.3,0.1,0.4,0.424,0.364,0.375,0,0.008
366,NBA,2,36,NYK,Mitchell Robinson\robinmi01,20.086,C,us,,2019,2021,2018,155,23,8.4,7,0.6,0.9,2.1,0.706,0.706,,0.565,15.9,0.214
367,NBA,2,37,SAC,Gary Trent\trentga02,19.159,G,us,Duke,2019,2021,2018,116,23.1,10.2,1.7,1.1,0.7,0.2,0.423,0.456,0.399,0.768,3.5,0.063
368,NBA,2,38,PHI,Khyri Thomas\thomakh01,22.049,G,us,Creighton,2019,2020,2018,34,7.5,2.3,0.6,0.3,0.3,0.1,0.314,0.324,0.306,0.6,0,-0.005
369,NBA,2,39,PHI,Isaac Bonga\bongais01,18.23,G,de,,2019,2021,2018,114,14.8,3.6,2.6,0.9,0.5,0.3,0.446,0.514,0.319,0.779,1.7,0.048
370,NBA,2,40,BRK,Rodions Kurucs\kurucro01,20.141,F,lv,,2019,2021,2018,126,16.4,6.1,3.2,0.9,0.6,0.3,0.442,0.538,0.323,0.735,2.2,0.05
371,NBA,2,41,ORL,Jarred Vanderbilt\vandeja01,19.084,F,us,Kentucky,2019,2021,2018,68,12.5,3.9,3.8,0.9,0.7,0.5,0.597,0.605,0.25,0.595,1.9,0.106
372,NBA,2,42,DET,Bruce Brown\brownbr01,21.315,G,us,Miami (FL),2019,2021,2018,171,22.7,6.8,3.7,2.2,0.8,0.4,0.457,0.503,0.295,0.736,5.8,0.072
373,NBA,2,43,DEN,Justin Jackson\jacksju02,21.128,F,ca,Maryland,,,2018,,,,,,,,,,,,,
374,NBA,2,44,WAS,Issuf Sanon\sanonis01,18.239,G,ua,,,,2018,,,,,,,,,,,,,
375,NBA,2,45,BRK,Hamidou Diallo\diallha01,19.33,G,us,Kentucky,2019,2021,2018,129,16.9,6.9,3.3,1,0.7,0.2,0.462,0.5,0.262,0.618,2.4,0.053
376,NBA,2,46,HOU,De'Anthony Melton\meltode01,20.029,G,us,USC,2019,2021,2018,137,19.7,7.1,3.3,3,1.3,0.4,0.415,0.471,0.326,0.766,3.4,0.06
377,NBA,2,47,LAL,Sviatoslav Mykhailiuk\mykhasv01,21.016,G-F,ua,Kansas,2019,2021,2018,136,17.5,6.6,1.6,1.5,0.6,0.1,0.387,0.43,0.369,0.775,1.8,0.036
378,NBA,2,48,MIN,Keita Bates-Diop\bateske01,22.155,F,us,Ohio State,2019,2021,2018,90,15.2,5.3,2.6,0.6,0.5,0.4,0.419,0.5,0.306,0.699,1.7,0.061
379,NBA,2,49,SAS,Chimezie Metu\metuch01,21.096,F,us,USC,2019,2021,2018,58,5.5,2.5,1.6,0.5,0.2,0.2,0.446,0.463,0.143,0.744,0.1,0.017
380,NBA,2,50,IND,Alize Johnson\johnsal02,22.065,F,us,Missouri State,2019,2020,2018,31,5.9,1.5,2.2,0.3,0.1,0.2,0.356,0.343,0.4,0.611,0.3,0.081
381,NBA,2,51,NOP,Tony Carr\carrto01,20.258,G,us,Penn State,,,2018,,,,,,,,,,,,,
382,NBA,2,52,UTA,Vince Edwards\edwarvi01,22.082,F,us,Purdue,2019,2019,2018,2,8,1.5,1,0,0,0,0.25,,0.25,,0,-0.014
383,NBA,2,53,OKC,Devon Hall\hallde01,22.355,G,us,Virginia,2020,2020,2018,11,7.4,1.8,0.6,1.2,0.4,0.1,0.2,0.154,0.235,0.5,-0.2,-0.116
384,NBA,2,54,DAL,Shake Milton\miltosh01,21.273,G,us,SMU,2019,2021,2018,95,20.5,10,2.1,2.4,0.5,0.3,0.455,0.512,0.365,0.837,4.2,0.104
385,NBA,2,55,CHO,Arnoldas Kulboka\kulboar01,20.173,F,lt,,,,2018,,,,,,,,,,,,,
386,NBA,2,56,PHI,Ray Spalding\spaldra01,21.107,F,us,Louisville,2019,2021,2018,16,10.4,3.6,3.3,0.3,0.6,0.6,0.529,0.574,0,0.286,0.1,0.026
387,NBA,2,57,OKC,Kevin Hervey\herveke01,21.352,F,us,UT Arlington,2020,2020,2018,10,5.2,1.7,1.2,0.5,0.1,0.1,0.259,0.571,0.15,,-0.1,-0.085
388,NBA,2,58,DEN,Thomas Welsh\welshth01,22.144,C,us,UCLA,2019,2019,2018,11,3.3,1.6,0.4,0.5,0,0,0.538,0.667,0.429,0.5,0.1,0.162
389,NBA,2,59,PHO,George King\kingge03,24.163,G-F,us,Colorado,2019,2019,2018,1,6,0,1,0,0,0,,,,,0,-0.001
390,NBA,2,60,PHI,Kostas Antetokounmpo\antetko01,20.218,F,gr,Dayton,2019,2021,2018,11,4.7,1.2,1.2,0.2,0.3,0.2,0.444,0.444,,0.5,0,-0.044
391,NBA,2,31,BRK,Nicolas Claxton\claxtni01,20.069,F,us,Georgia,2020,2021,2019,26,14.8,6.5,3.3,1,0.4,1,0.609,0.651,0.111,0.563,1.2,0.154
392,NBA,2,32,PHO,KZ Okpala\okpalkz01,20.058,F,us,Stanford,2020,2021,2019,30,11.6,2.5,1.8,0.4,0.3,0.3,0.423,0.576,0.289,0.375,0.2,0.034
393,NBA,2,33,PHI,Carsen Edwards\edwarca01,21.105,G,us,Purdue,2020,2021,2019,53,9.7,3.8,1.2,0.6,0.3,0.1,0.376,0.459,0.313,0.714,0.5,0.044
394,NBA,2,34,PHI,Bruno Fernando\fernabr01,20.314,F,ao,Maryland,2020,2021,2019,77,11.4,3.5,3.4,0.8,0.3,0.3,0.504,0.583,0.128,0.576,0.8,0.043
395,NBA,2,35,ATL,Marcos Louzada Silva\louzama01,20.138,G,br,,,,2019,,,,,,,,,,,,,
396,NBA,2,36,CHO,Cody Martin\martico01,23.271,G-F,us,Nevada,2020,2021,2019,77,16.4,4.5,3,1.7,0.7,0.2,0.457,0.58,0.238,0.659,1.7,0.065
397,NBA,2,37,DAL,Deividas Sirvydis\sirvyde01,19.014,G-F,lt,,2021,2021,2019,7,1.7,0.1,0.3,0.1,0.1,0,0,,0,0.5,-0.1,-0.227
398,NBA,2,38,CHI,Daniel Gafford\gaffoda01,20.267,F,us,Arkansas,2020,2021,2019,72,13.6,5,2.8,0.5,0.3,1.3,0.696,0.696,,0.586,3.2,0.159
399,NBA,2,39,NOP,Alen Smailagić\smailal01,18.31,F,rs,,2020,2021,2019,17,8.9,3.8,1.6,0.8,0.2,0.2,0.468,0.6,0.235,0.762,0.2,0.052
400,NBA,2,40,SAC,Justin James\jamesju01,22.152,G,us,Wyoming,2020,2021,2019,55,6.4,2.4,0.8,0.5,0.2,0.2,0.429,0.487,0.317,0.455,0.1,0.019
401,NBA,2,41,GSW,Eric Paschall\pascher01,22.233,F,us,Villanova,2020,2021,2019,97,23.7,12.3,4,1.8,0.4,0.2,0.496,0.544,0.292,0.758,2.9,0.061
402,NBA,2,42,PHI,Admiral Schofield\schofad01,22.087,G-F,gb,Tennessee,2020,2020,2019,33,11.2,3,1.4,0.5,0.2,0.1,0.38,0.516,0.311,0.667,0.1,0.017
403,NBA,2,43,MIN,Jaylen Nowell\nowelja01,19.351,G,us,Washington,2020,2021,2019,43,15.6,8.1,1.8,1.3,0.4,0.2,0.444,0.535,0.336,0.86,1.1,0.075
404,NBA,2,44,MIA,Bol Bol\bolbo01,19.221,F-C,sd,Oregon,2020,2021,2019,25,7.2,3,1.3,0.4,0.2,0.5,0.491,0.5,0.478,0.75,0.2,0.04
405,NBA,2,45,DET,Isaiah Roby\robyis01,21.142,F,us,Nebraska,2020,2021,2019,39,21,8.3,5.2,1.6,0.7,0.6,0.528,0.594,0.333,0.747,1.8,0.104
406,NBA,2,46,ORL,Talen Horton-Tucker\hortota01,18.211,G-F,us,Iowa State,2020,2021,2019,45,17.7,7.8,2.5,2.1,0.8,0.5,0.451,0.527,0.256,0.825,1.4,0.083
407,NBA,2,47,SAC,Ignas Brazdeikis\brazdig01,20.168,F,lt,Michigan,2020,2021,2019,13,4.6,1.5,0.5,0.4,0,0.1,0.261,0.357,0.111,0.857,-0.1,-0.092
408,NBA,2,48,LAC,Terance Mann\mannte01,22.25,G-F,us,Florida State,2020,2021,2019,81,12.4,3.7,2.3,1.2,0.3,0.2,0.48,0.524,0.361,0.753,2.3,0.11
409,NBA,2,49,SAS,Quinndary Weatherspoon\weathqu01,22.288,G,us,Mississippi State,2020,2021,2019,19,6.2,0.9,0.5,0.8,0.4,0.1,0.292,0.333,0.167,0.75,-0.2,-0.099
410,NBA,2,50,IND,Jarrell Brantley\brantja01,23.018,F,us,College of Charleston,2020,2021,2019,20,6.3,1.8,1.4,0.6,0.2,0.3,0.368,0.444,0.3,0.5,0,0.018
411,NBA,2,51,BOS,Tremont Waters\watertr01,21.166,G,us,LSU,2020,2021,2019,21,10.3,3.5,1,2.2,0.8,0.1,0.3,0.341,0.256,0.938,-0.2,-0.047
412,NBA,2,52,CHO,Jalen McDaniels\mcdanja01,21.145,F,us,San Diego State,2020,2021,2019,36,14.5,4.9,3.1,0.6,0.3,0.2,0.458,0.527,0.333,0.763,0.4,0.041
413,NBA,2,53,UTA,Justin Wright-Foreman\wrighju02,21.241,G,us,Hofstra,2020,2020,2019,4,11.3,4.8,1.3,1.8,0.5,0,0.35,0.5,0.2,0.75,0,-0.008
414,NBA,2,54,PHI,Marial Shayok\shayoma01,23.335,G,ca,Iowa State,2020,2020,2019,4,7,2.8,1.8,0.3,0,0.3,0.25,0.167,0.333,0.75,-0.1,-0.13
415,NBA,2,55,NYK,Kyle Guy\guyky01,21.318,G,us,Virginia,2020,2021,2019,20,6.5,2.3,0.8,0.8,0.2,0,0.32,0.455,0.214,0.875,0,-0.017
416,NBA,2,56,LAC,Jaylen Hands\handsja01,20.133,G,us,UCLA,,,2019,,,,,,,,,,,,,
417,NBA,2,57,NOP,Jordan Bone\bonejo01,21.232,G,us,Tennessee,2020,2021,2019,24,10.4,2.8,1.2,1.1,0.1,0,0.378,0.5,0.286,,0.1,0.019
418,NBA,2,58,GSW,Miye Oni\onimi01,21.325,G,us,Yale,2020,2021,2019,38,8.7,2.3,1.7,0.3,0.2,0.2,0.378,0.35,0.389,0.818,0.6,0.082
419,NBA,2,59,TOR,Dewan Hernandez\hernade01,22.198,F,us,Miami (FL),2020,2020,2019,6,4.7,2.3,2.3,0.5,0.2,0,0.357,0.333,0.5,0.6,0,0.043
420,NBA,2,60,SAC,Vanja Marinković\marinva01,22.167,G,rs,,,,2019,,,,,,,,,,,,,